E1780,3.34615853E7,3080492.799
E4611,3.3460805E7,3079480.2
J1881,3.346118619E7,3081705.262
E1586,3.346274598E7,3078568.217
E1860,3.346098396E7,3081483.607
E1667,3.34621358E7,3079550.771
E1901,3.34612936E7,3082100.9
E1747,3.346035927E7,3080428.612
E1745,3.346208572E7,3080489.567
E1866,3.346175937E7,3081493.88
E1705,3.34622894E7,3080092.025
F1616,3.346342369E7,3078935.394
J1793,3.346222247E7,3080975.745
E1770,3.346191273E7,3080831.795
E1579,3.346367488E7,3078480.888
E4605,3.346181207E7,3079054.973
E1898,3.346139521E7,3081686.206
E1810,3.346095181E7,3080963.618
E1699,3.346101557E7,3080007.191
C1946,3.346131053E7,3082514.586
E1896,3.346062997E7,3081925.582
E4607,3.346120237E7,3079372.118
E1935,3.346015494E7,3082288.023
C1624,3.346362616E7,3079211.227
E1819,3.346227492E7,3081192.742
F4602,3.346104908E7,3079001.237
F4603,3.346121349E7,3078849.709
F1853,3.346254165E7,3081414.332
F1734,3.346249117E7,3080397.28
F1932,3.346225656E7,3082075.95
F4604,3.346072807E7,3078965.217
F1607,3.346393426E7,3078805.761
E1684,3.346248979E7,3079863.507
E1760,3.346198284E7,3080679.649
E1603,3.346250485E7,3078871.175
E1609,3.346256119E7,3079004.062
F8596,3.345975842E7,3080367.134
F4599,3.346157531E7,3078826.927
J1549,3.346409924E7,3078332.15
F1721,3.34626469E7,3080170.787
F1602,3.346431892E7,3078653.398
F8516,3.346029173E7,3079440.687
F1645,3.3463168E7,3079356.154
F1725,3.346285727E7,3080196.391
E1591,3.346314665E7,3078519.109
F1916,3.346186229E7,3082035.924
J1892,3.346158141E7,3081675.902
E1675,3.346168134E7,3079606.055
F4591,3.34622689E7,3078275.481
E1758,3.346046134E7,3080662.216
E1833,3.346063724E7,3081359.595
E1719,3.346112292E7,3080218.353
F4584,3.346393444E7,3077737.488
F1795,3.346256941E7,3080817.32
F1678,3.34631672E7,3079745.09